lemma,pos,cefr_level,frequency_rank
инициатива,n,B2,2072
ремонт,n,B1,2073
масштаб,n,B2,2074
терпеть,v,B1,2075
пятнадцать,num,A1,2076
летний,adj,A2,2077
снижение,n,B2,2078
наступать,v,B1,2079
дым,n,B2,2080
критика,n,B2,2081
выражать,v,B1,2082
оплата,n,B1,2083
протяжение,n,C1,2084
параметр,n,B2,2085
лекция,n,A2,2086
радоваться,v,B1,2087
танец,n,B1,2088
распоряжение,n,C1,2089
щека,n,B1,2090
вероятность,n,B2,2091
не может быть,mwe,A2,2092
рубеж,n,B2,2093
интеллектуальный,adj,B2,2094
коробка,n,B1,2095
агент,n,B2,2096
согласие,n,B1,2097
марка,n,A1,2098
критерий,n,B2,2099
посылать,v,A2,2100
происхождение,n,B2,2101
эфир,n,B2,2102
смешной,adj,A2,2103
абсолютный,adj,B2,2104
приятель,n,B1,2105
семинар,n,B2,2106
метро,n,A1,2107
вуз,abbr,B1,2108
рекомендовать,v,B2,2109
сервер,n,B2,2110
публика,n,C1,2111
очки,n,A1,2112
молитва,n,B2,2113
в силу,mwe,B2,2114
таблица,n,B1,2115
юный,adj,B1,2116
ненавидеть,v,A2,2117
сопротивление,n,B2,2118
удача,n,B1,2119
полицейский,adj,A1,2120
признавать,v,B2,2121
сбор,n,B1,2122
длина,n,A1,2123
мирный,adj,B1,2124
колесо,n,A2,2125
намерение,n,B2,2126
дружба,n,A1,2127
крест,n,A2,2128
отлично,adv,A2,2129
неожиданный,adj,B1,2130
ужин,n,A1,2131
двигатель,n,B2,2132
длительный,adj,B2,2133
планировать,v,B1,2134
талант,n,B1,2135
юноша,n,C1,2136
автомат,n,B2,2137
перемена,n,A1,2138
зверь,n,A2,2139
голый,adj,B2,2140
дискуссия,n,B1,2141
переживать,v,B2,2142
труп,n,B2,2143
поворот,n,A2,2144
священник,n,B2,2145
сочинение,n,B1,2146
упражнение,n,A2,2147
наказание,n,B2,2148
стратегический,adj,C1,2149
выдавать,v,B1,2150
моральный,adj,B2,2151
чрезвычайно,adv,B2,2152
друг другу,mwe,A2,2153
приближаться,v,A2,2154
меч,n,C1,2155
мобильный,adj,A1,2156
обработка,n,C1,2157
ныне,adv,C2,2158
осуществляться,v,B2,2159
непонятный,adj,A1,2160
сложность,n,B1,2161
мешок,n,B1,2162
совесть,n,B2,2163
диван,n,A1,2164
охота,n,B2,2165
трудовой,adj,B1,2166
наркотик,n,B2,2167
сообщество,n,C1,2168
пассажир,n,A1,2169
описывать,v,B1,2170
областной,adj,B2,2171
поэзия,n,B2,2172
закрывать,v,A1,2173
достаточный,adj,B1,2174
премия,n,B2,2175
рыночный,adj,B2,2176
сценарий,n,C1,2177
психология,n,B1,2178
код,n,B2,2179
жилье,n,B2,2180
экипаж,n,B2,2181
контролировать,v,B1,2182
помощник,n,B1,2183
кормить,v,A2,2184
лед,n,A2,2185
италия,n prop,A1,2186
кость,n,B1,2187
ассоциация,n,B2,2188
предприниматель,n,B2,2189
спектакль,n,B1,2190
порт,n,B2,2191
краска,n,B1,2192
дочка,n,B2,2193
ракета,n,B2,2194
жениться,v,A2,2195
постановление,n,C1,2196
зря,adv,B2,2197
грязь,n,A2,2198
свидетельство,n,B2,2199
темп,n,B1,2200
песок,n,B2,2201
потолок,n,A2,2202
аудитория,n,A2,2203
привычный,adj,B2,2204
отпуск,n,A2,2205
тщательно,adv,B2,2206
анекдот,n,B1,2207
ангел,n,B2,2208
монастырь,n,B2,2209
внизу,adv,A2,2210
маршрут,n,B1,2211
необычный,adj,B2,2212
пыль,n,B1,2213
прочесть,v,A2,2214
приглашать,v,A1,2215
растение,n,B1,2216
демократический,adj,B1,2217
проверять,v,A2,2218
идеальный,adj,B2,2219
оборот,n,B2,2220
бесплатный,adj,A2,2221
падение,n,B2,2222
банка,n,B1,2223
боец,n,C1,2224
ровно,adv,B1,2225
введение,n,B2,2226
аргумент,n,B2,2227
ткань,n,B2,2228
склад,n,B2,2229
яйцо,n,A1,2230
запрос,n,B2,2231
нужда,n,C1,2232
доверие,n,B2,2233
нежный,adj,B1,2234
горло,n,A2,2235
научить,v,A2,2236
формат,n,B2,2237
британский,adj,A1,2238
тратить,v,A2,2239
существующий,adj,B2,2240
съесть,v,A2,2241
адвокат,n,B1,2242
опытный,adj,B1,2243
уход,n,B2,2244
пистолет,n,B2,2245
промышленный,adj,C1,2246
подросток,n,A2,2247
горе,n,B2,2248
бомба,n,B1,2249
к тому же,con,B2,2250
башня,n,B1,2251
навстречу,adv,B1,2252
подразделение,n,C1,2253
заведение,n,C2,2254
социально,adv,B1,2255
навык,n,B1,2256
хозяйка,n,B1,2257
богатство,n,B1,2258
понадобиться,v,B2,2259
уважать,v,A2,2260
верховный,adj,C2,2261
мотив,n,B2,2262
поражение,n,C1,2263
туалет,n,A1,2264
бытие,n,C2,2265
сохранять,v,B1,2266
тревога,n,B2,2267
остановка,n,A1,2268
дорого,adv,A1,2269
жестокий,adj,B2,2270
крепко,adv,B2,2271
реально,adv,C1,2272
выходной,n,A2,2273
административный,adj,B2,2274
дрожать,v,B2,2275
близко,adv,A1,2276
плод,n,B2,2277
судно,n,C1,2278
борт,n,C1,2279
проживать,v,B1,2280
самостоятельно,adv,B1,2281
соединение,n,B2,2282
впоследствии,adv,B2,2283
диалог,n,A1,2284
контракт,n,B1,2285
пахнуть,v,B1,2286
в ходе,mwe,B2,2287
свадьба,n,B1,2288
туман,n,B1,2289
прибор,n,B2,2290
восторг,n,B2,2291
качественный,adj,B1,2292
точность,n,B2,2293
превращаться,v,B2,2294
выпускать,v,C1,2295
девчонка,n,C1,2296
и так далее,mwe,C1,2297
персонал,n,B2,2298
тайный,adj,C1,2299
майор,n,C2,2300
оценивать,v,B2,2301
молчание,n,B1,2302
особенный,adj,B1,2303
предоставлять,v,C1,2304
оператор,n,B2,2305
конституция,n,B1,2306
развивать,v,B2,2307
карточка,n,A1,2308
подавать,v,B1,2309
поселок,n,B2,2310
кодекс,n,B2,2311
аналогичный,adj,B2,2312
беременность,n,B1,2313
хранить,v,B1,2314
исследователь,n,B2,2315
исчезать,v,B2,2316
француз,n,A1,2317
замуж,adv,A2,2318
препарат,n,B2,2319
игрушка,n,B1,2320
весело,adv,A2,2321
прежде чем,mwe,B2,2322
конструкция,n,B2,2323
сезон,n,B1,2324
самостоятельный,adj,B2,2325
формула,n,B2,2326
рассмотрение,n,C1,2327
пробовать,v,A2,2328
посадить,v,B2,2329
кулак,n,B2,2330
физика,n,B1,2331
в отличие,mwe,C1,2332
всеобщий,adj,B2,2333
жест,n,B1,2334
насилие,n,B2,2335
кто-нибудь,pron,B1,2336
исходный,adj,B2,2337
обслуживание,n,B2,2338
англичанин,n,A1,2339
бригада,n,B2,2340
вызов,n,B2,2341
дешевый,adj,A1,2342
капля,n,B2,2343
лаборатория,n,B2,2344
спасение,n,C1,2345
непосредственный,adj,C1,2346
полчаса,n,A1,2347
гибель,n,B2,2348
полка,n,A1,2349
паспорт,n,A1,2350
подозревать,v,B2,2351
обязательство,n,B2,2352
активность,n,B1,2353
горный,adj,B1,2354
дар,n,B2,2355
протокол,n,B2,2356
рекомендация,n,B2,2357
лекарство,n,A1,2358
максимальный,adj,B2,2359
объявление,n,A1,2360
минимальный,adj,B2,2361
мороз,n,A2,2362
одинокий,adj,B1,2363
замечание,n,B1,2364
отдыхать,v,A1,2365
карьера,n,B1,2366
стандартный,adj,B2,2367
высказывание,n,B2,2368
шар,n,A2,2369
ловить,v,B2,2370
политик,n,B1,2371
несомненно,adv,C1,2372
альбом,n,B2,2373
вокзал,n,A2,2374
надежный,adj,B2,2375
вооруженный,adj,B1,2376
записка,n,B1,2377
справедливость,n,B1,2378
коротко,adv,B2,2379
страдание,n,B2,2380
нередко,adv,B2,2381
открываться,v,A2,2382
действующий,adj,B2,2383
в принципе,mwe,B2,2384
осуществление,n,B2,2385
дача,n,B1,2386
гарантия,n,B1,2387
изделие,n,B2,2388
партийный,adj,B1,2389
космос,n,B2,2390
скорый,adj,B1,2391
привлекать,v,B2,2392
противоречие,n,C1,2393
нервный,adj,B2,2394
горький,adj,B1,2395
отнюдь,adv,C2,2396
украинский,adj,A1,2397
воевать,v,B1,2398
могила,n,B2,2399
тест,n,A1,2400
подъезд,n,B1,2401
приобретать,v,B2,2402
явный,adj,C1,2403
миг,n,C2,2404
орудие,n,C1,2405
сзади,adv,A2,2406
скромный,adj,B1,2407
пятно,n,B1,2408
заметный,adj,B2,2409
почва,n,B2,2410
груз,n,B2,2411
пуля,n,B2,2412
двенадцать,num,A1,2413
инструкция,n,A2,2414
коммунист,n,B2,2415
воображение,n,B2,2416
грубый,adj,B2,2417
построение,n,C1,2418
велеть,v,C2,2419
проявлять,v,B2,2420
разнообразный,adj,B1,2421
кафе,n,A2,2422
глобальный,adj,B2,2423
сборник,n,B2,2424
факультет,n,B1,2425
куст,n,B1,2426
стихотворение,n,B1,2427
методика,n,B2,2428
битва,n,C1,2429
интересоваться,v,B1,2430
окружать,v,B2,2431
советовать,v,A2,2432
холод,n,A1,2433
удивляться,v,B1,2434
разведка,n,C1,2435
потенциал,n,C1,2436
одиночество,n,B2,2437
фантазия,n,B2,2438
с трудом,mwe,B2,2439
якобы,adv,C2,2440
производственный,adj,B2,2441
мина,n,C2,2442
ответственный,adj,B1,2443
волк,n,B2,2444
ущерб,n,B2,2445
незнакомый,adj,A2,2446
мокрый,adj,A2,2447
расширение,n,C1,2448
важнейший,adj,B1,2449
палатка,n,B1,2450
салон,n,B1,2451
до тех пор,mwe,B2,2452
великолепный,adj,C1,2453
доходить,v,A2,2454
отражать,v,B2,2455
лезть,v,B2,2456
голод,n,A2,2457
выстрел,n,B2,2458
столетие,n,B2,2459
что именно,mwe,B2,2460
ключевой,adj,B2,2461
шкаф,n,A1,2462
победитель,n,B1,2463
доверять,v,B2,2464
костер,n,B2,2465
независимо,adv,B2,2466
жанр,n,B2,2467
зимний,adj,A2,2468
вступать,v,B2,2469
философский,adj,B2,2470
решаться,v,B2,2471
объективный,adj,C1,2472
трагедия,n,B2,2473
священный,adj,C2,2474
можно сказать,mwe,B2,2475
жаловаться,v,B1,2476
четверг,n prop,A1,2477
фестиваль,n,B2,2478
ненависть,n,B2,2479
холм,n,B2,2480
частота,n,B2,2481
вечерний,adj,B1,2482
контекст,n,B1,2483
копия,n,B2,2484
удовлетворение,n,B2,2485
когда-нибудь,adv,B1,2486
узел,n,B2,2487
психолог,n,B2,2488
вред,n,B2,2489
жалко,adv,A2,2490
нигде,adv,A2,2491
финансирование,n,B2,2492
неплохо,adv,A2,2493
идеология,n,B2,2494
командование,n,B2,2495
отрицательный,adj,B1,2496
создаваться,v,B2,2497
убеждение,n,B2,2498
звание,n,C1,2499
высоко,adv,A2,2500
жалеть,v,B1,2501
скала,n,B2,2502
вторник,n prop,A1,2503
выше,adv,A2,2504
непременно,adv,C2,2505
обвинение,n,B2,2506
искусственный,adj,B1,2507
в зависимости от,mwe,B2,2508
литр,n,A1,2509
учебник,n,A1,2510
превышать,v,B2,2511
тьма,n,C2,2512
лента,n,B2,2513
христианский,adj,B1,2514
готовность,n,B2,2515
лесной,adj,B1,2516
проявляться,v,C1,2517
исполнять,v,B2,2518
нагрузка,n,B2,2519
зарубежный,adj,B2,2520
душевный,adj,C1,2521
раб,n,C1,2522
корреспондент,n,B2,2523
спутник,n,B2,2524
цепь,n,B2,2525
потенциальный,adj,C1,2526
приниматься,v,C1,2527
розовый,adj,A1,2528
почитать,v,B1,2529
благодарить,v,A2,2530
идеал,n,B2,2531
эпизод,n,B2,2532
вечно,adv,C1,2533
визит,n,B2,2534
сетевой,adj,B2,2535
орден,n,B2,2536
конкуренция,n,B2,2537
парламент,n,B1,2538
колонна,n,B2,2539
собор,n,B2,2540
танцевать,v,A1,2541
соревнование,n,A2,2542
произносить,v,A1,2543
глупость,n,B2,2544
эмоциональный,adj,B1,2545
роза,n,A2,2546
городок,n,B1,2547
подтверждать,v,B2,2548
распределение,n,B2,2549
отправляться,v,B2,2550
любитель,n,B2,2551
как только,mwe,B2,2552
бар,n,B1,2553
неизвестно,adv,B1,2554
приличный,adj,B2,2555
содержаться,v,B2,2556
обзор,n,B2,2557
претензия,n,B2,2558
нападение,n,B2,2559
рубашка,n,A1,2560
рассматриваться,v,C1,2561
итальянский,adj,A1,2562
тоска,n,B2,2563
завтрак,n,A1,2564
ниже,adj,A2,2565
пенсия,n,B1,2566
восстановление,n,B2,2567
турист,n,A1,2568
на протяжении,mwe,C2,2569
инвестор,n,B2,2570
переживание,n,C1,2571
мода,n,A2,2572
разработчик,n,B2,2573
везти,v,C1,2574
рисовать,v,B1,2575
возникновение,n,B2,2576
вестись,v,C1,2577
стенка,n,A2,2578
узнавать,v,A2,2579
ведение,n,C1,2580
единство,n,B2,2581
мощность,n,B2,2582
здорово,excl,B1,2583
иностранец,n,A1,2584
статистика,n,B2,2585
волноваться,v,B1,2586
повести,v,B2,2587
музыкант,n,A1,2588
пьеса,n,B1,2589
десятилетие,n,B1,2590
блестящий,adj,B1,2591
убийца,n,B2,2592
известие,n,B1,2593
печальный,adj,B1,2594
улучшение,n,B1,2595
яблоко,n,A1,2596
слева,adv,A2,2597
заявлять,v,B2,2598
местность,n,B2,2599
зарабатывать,v,B1,2600
экспедиция,n,B2,2601
прогресс,n,B2,2602
то же самое,mwe,A2,2603
цитировать,v,B2,2604
пояс,n,A2,2605
королева,n,B1,2606
квадратный,adj,B2,2607
заинтересовать,v,B1,2608
выгодный,adj,B2,2609
начальный,adj,B2,2610
старуха,n,B1,2611
аэродром,n,B2,2612
делиться,v,B2,2613
допускать,v,B2,2614
торопиться,v,A2,2615
реагировать,v,B2,2616
союзник,n,B2,2617
корпорация,n,C1,2618
сапог,n,A1,2619
мелочь,n,A2,2620
дисциплина,n,B2,2621
складываться,v,C1,2622
азия,n prop,A1,2623
справа,adv,A2,2624
вначале,adv,B1,2625
транспортный,adj,B1,2626
аэропорт,n,A1,2627
вовремя,adv,A2,2628
сокращение,n,B1,2629
миф,n,B2,2630
свободно,adv,B2,2631
авторский,adj,C1,2632
кусочек,n,A2,2633
неплохой,adj,A2,2634
в свою очередь,mwe,B2,2635
польский,adj,A1,2636
конкурент,n,B2,2637
маска,n,B1,2638
существенно,adv,C1,2639
четкий,adv,B2,2640
жалоба,n,B1,2641
потребление,n,B2,2642
подпись,n,A1,2643
прозрачный,adj,B2,2644
опираться,v,C1,2645
авиация,n,C1,2646
корова,n,A2,2647
применяться,v,B1,2648
ложиться,v,A2,2649
настаивать,v,B2,2650
напиток,n,A1,2651
освобождение,n,B2,2652
двойной,adj,B1,2653
письменный,adj,A2,2654
инвестиционный,adj,B2,2655
граф,n,C2,2656
математика,n,B1,2657
зачастую,adv,C2,2658
густой,adj,B2,2659
потребоваться,v,B1,2660
студия,n,B1,2661
приход,n,C1,2662
кремль,n prop,A2,2663
авторитет,n,B2,2664
отражение,n,B2,2665
накануне,adv,C2,2666
мотор,n,B1,2667
измерение,n,B2,2668
небесный,adj,B2,2669
с другой стороны,mwe,B2,2670
подлинный,adj,C1,2671
предварительный,adj,B2,2672
искренне,adv,B2,2673
заботиться,v,B2,2674
экологический,adj,B1,2675
молиться,v,B2,2676
повесть,n,B1,2677
вождь,n,C1,2678
компонент,n,B2,2679
гордость,n,B2,2680
передний,adj,A2,2681
невеста,n,B1,2682
вклад,n,B1,2683
русь,n prop,B2,2684
доказывать,v,B2,2685
соображение,n,C1,2686
наблюдаться,v,B2,2687
глухой,adj,B2,2688
металл,n,B2,2689
кое-что,pron,C1,2690
неправильный,adj,A1,2691
совещание,n,C1,2692
краткий,adj,A1,2693
подходящий,adj,B1,2694
сопровождать,v,B2,2695
пребывание,n,B2,2696
теоретический,adj,B2,2697
ложь,n,B2,2698
катастрофа,n,B1,2699
к примеру,mwe,B2,2700
по телефону,mwe,A1,2701
процессор,n,B2,2702
окружение,n,C1,2703
справедливый,adj,B1,2704
профиль,n,B2,2705
квартал,n,B2,2706
законодательный,adj,C1,2707
эксплуатация,n,B2,2708
окончательный,adj,B2,2709
пожар,n,A1,2710
головной,adj,A1,2711
подъем,n,B2,2712
чудесный,adj,B1,2713
металлический,adj,B2,2714
слуга,n,C1,2715
удачный,adj,B2,2716
критический,adj,B2,2717
решительно,adv,C1,2718
деятель,n,C2,2719
руль,n,B2,2720
шестой,num,A2,2721
блин,n,A2,2722
дважды,adv,B2,2723
спускаться,v,B1,2724
негативный,adj,B2,2725
во-первых,adv,B1,2726
свеча,n,B2,2727
медведь,n,B1,2728
оперативный,adj,C1,2729
наверх,adv,A2,2730
прогноз,n,B1,2731
опрос,n,B1,2732
собеседник,n,B2,2733
пожилой,adj,A1,2734
вернее,adv,C1,2735
публичный,adj,C1,2736
супруг,n,B2,2737
устанавливать,v,B1,2738
свидание,n,B1,2739
миссия,n,C2,2740
дедушка,n,A1,2741
платформа,n,B1,2742
тонна,n,B2,2743
горизонт,n,B2,2744
сахар,n,A1,2745
эволюция,n,B2,2746
мебель,n,A1,2747
типичный,adj,B2,2748
пустыня,n,B2,2749
оригинальный,adj,B2,2750
внутрь,adv,A2,2751
обида,n,B1,2752
сочетание,n,B1,2753
призывать,v,C1,2754
заканчиваться,v,B1,2755
чашка,n,A1,2756
вооружение,n,C1,2757
справка,n,A2,2758
артист,n,A1,2759
прокуратура,n,C1,2760
профессионал,n,B1,2761
съезд,n,B2,2762
позади,adv,B2,2763
принц,n,B2,2764
приобретение,n,B2,2765
график,n,B2,2766
философ,n,B2,2767
сдавать,v,B2,2768
племя,n,C1,2769
ветка,n,A2,2770
сталкиваться,v,C1,2771
захотеться,v,B1,2772
гнев,n,B2,2773
почтовый,adj,A2,2774
слабость,n,B2,2775
целиком,adv,B2,2776
консультант,n,B1,2777
крепость,n,B2,2778
а именно,adv,B2,2779
церковный,adj,B2,2780
разделять,v,B2,2781
в самом деле,mwe,C1,2782
разбираться,v,B2,2783
правление,n,C1,2784
сладкий,adj,A1,2785
видать,adv,C2,2786
более чем,mwe,B2,2787
ствол,n,B2,2788
независимость,n,B1,2789
недавний,adj,C1,2790
долина,n,B2,2791
каталог,n,A2,2792
забор,n,B2,2793
фото,n,A1,2794
суровый,adj,B2,2795
невероятный,adj,B2,2796
пресс,n,C1,2797
законный,adj,B1,2798
коллекция,n,B1,2799
благодарность,n,B2,2800
мгновенно,adv,B2,2801
пугать,v,B2,2802
целовать,v,A2,2803
испугаться,v,A2,2804
отчаяние,n,B2,2805
некогда,adv,B2,2806
награда,n,B2,2807
обыкновенный,adj,B1,2808
добыча,n,C1,2809
противный,adj,B2,2810
своеобразный,adj,C1,2811
ярко,adv,B2,2812
царство,n,C1,2813
с удовольствием,mwe,A2,2814
течь,v,A2,2815
революционный,adj,C1,2816
молодец,excl,A1,2817
изменять,v,B2,2818
преследовать,v,B2,2819
немножко,adv,A2,2820
ступень,n,B2,2821
корпоративный,adj,C1,2822
взаимный,adj,B2,2823
государь,n,C2,2824
легенда,n,B2,2825
оппозиция,n,B2,2826
установление,n,B2,2827
посещать,v,B2,2828
ближний,n,C1,2829
вплоть,adv,C1,2830
градус,n,A2,2831
орать,v,B2,2832
экземпляр,n,B1,2833
демонстрировать,v,B2,2834
цифровой,adj,B1,2835
предположение,n,B2,2836
тарелка,n,A1,2837
хранение,n,B2,2838
благородный,adj,B2,2839
грозить,v,B2,2840
торчать,v,C1,2841
познание,n,C2,2842
издательство,n,B2,2843
неудача,n,B2,2844
пушка,n,C1,2845
сломать,v,A2,2846
чуть ли не,mwe,C1,2847
муниципальный,adj,B2,2848
пасть,n,C2,2849
сумасшедший,adj,B2,2850
снаряд,n,C1,2851
мудрость,n,B2,2852
мрачный,adj,B2,2853
исполнительный,adj,C1,2854
ядро,n,B2,2855
медицина,n,A2,2856
виртуальный,adj,B2,2857
историк,n,B2,2858
тянуться,v,B2,2859
тесный,adj,B1,2860
предок,n,B2,2861
россиянин,n,A2,2862
сок,n,A1,2863
плыть,v,A2,2864
громкий,adj,A1,2865
грозный,adj,C1,2866
доставаться,v,B2,2867
рассуждение,n,C1,2868
расположение,n,B2,2869
базовый,adj,B2,2870
преступник,n,B1,2871
сержант,n,C1,2872
видение,n,C1,2873
класть,v,A1,2874
электрический,adj,A1,2875
избирательный,adj,B1,2876
волновать,v,B1,2877
рана,n,B1,2878
серебряный,adj,B1,2879
гигантский,adj,B2,2880
царский,adj,C1,2881
все же,mwe,C2,2882
словарь,n,A1,2883
кафедра,n,B2,2884
вроде бы,mwe,C1,2885
тотчас,adv,C2,2886
заказчик,n,B1,2887
мышь,n,B1,2888
смертный,adj,C2,2889
дурной,adj,B2,2890
на этот раз,mwe,B2,2891
вследствие,adpos,B2,2892
блюдо,n,A1,2893
вредный,adj,A2,2894
технологический,adj,B2,2895
биться,v,C2,2896
посол,n,A1,2897
лапа,n,B2,2898
поза,n,B2,2899
старинный,adj,B2,2900
волнение,n,B2,2901
веревка,n,B1,2902
придавать,v,C1,2903
аккуратно,adv,B1,2904
руководить,v,B2,2905
рота,n,C2,2906
тетя,n,A2,2907
психический,adj,B2,2908
нравственный,adj,B2,2909
поставка,n,B2,2910
закрытый,adj,B1,2911
размышление,n,B2,2912
в данном случае,mwe,B2,2913
беспокоиться,v,B1,2914
архитектура,n,B2,2915
математический,adj,B1,2916
прыгать,v,A2,2917
связывать,v,B2,2918
нарушать,v,B1,2919
мука,n,A1,2920
доставать,v,B1,2921
автоматически,adv,B1,2922
химический,adj,B2,2923
школьник,n,A2,2924
указ,n,C1,2925
обычай,n,B2,2926
община,n,C2,2927
лампа,n,A1,2928
материя,n,B2,2929
актуальный,adj,B2,2930
ветеран,n,B2,2931
рок,n,B1,2932
разрыв,n,B2,2933
ошибаться,v,A1,2934
жилой,adj,B2,2935
лицензия,n,B2,2936
замена,n,B2,2937
задумываться,v,B2,2938
организатор,n,C1,2939
по сути,mwe,C2,2940
прогулка,n,B1,2941
прощать,v,B1,2942
ужасно,adv,B1,2943
королевский,adj,B1,2944
пустота,n,B2,2945
опасаться,v,C1,2946
ад,n,B2,2947
образовательный,adj,B2,2948
комментировать,v,B2,2949
рисковать,v,B2,2950
тренировка,n,B1,2951
осознавать,v,C1,2952
рассуждать,v,B2,2953
божественный,adj,B2,2954
грань,n,C1,2955
молодость,n,B1,2956
юмор,n,A2,2957
африка,n prop,A1,2958
мягко,adv,B1,2959
твердо,adv,B2,2960
банковский,adj,B2,2961
страховой,adj,B2,2962
уничтожение,n,B2,2963
устойчивый,adj,B2,2964
алкоголь,n,B1,2965
дизайн,n,B2,2966
пострадать,v,B2,2967
приговор,n,B2,2968
красиво,adv,A1,2969
управляющий,adj,C1,2970
гарантировать,v,B2,2971
охотник,n,C2,2972
расследование,n,B2,2973
спальня,n,A2,2974
просмотр,n,B1,2975
соотношение,n,B2,2976
белорусский,adj,A1,2977
проза,n,B2,2978
располагаться,v,B2,2979
поправка,n,B2,2980
скандал,n,B1,2981
голодный,adj,A1,2982
пламя,n,C1,2983
логический,adj,B2,2984
совпадать,v,B2,2985
одеяло,n,A1,2986
мышца,n,B2,2987
нарисовать,v,A2,2988
изображать,v,B2,2989
набирать,v,B2,2990
укрепление,n,B2,2991
вводить,v,C1,2992
фабрика,n,B2,2993
сторонник,n,C1,2994
исследовать,v,B2,2995
направлять,v,B2,2996
съемка,n,C1,2997
слепой,adj,B2,2998
пещера,n,B2,2999
энергетический,adj,B1,3000
рыжий,adj,B1,3001
учеба,n,B1,3002
поцеловать,v,A2,3003
утренний,adj,A2,3004
четверть,n,B1,3005
всемирный,adj,B2,3006
совершенный,adj,A2,3007
оформление,n,B1,3008
подушка,n,A1,3009
соглашаться,v,B1,3010
полагаться,v,C1,3011
замысел,n,C1,3012
цветной,adj,A2,3013
манера,n,C1,3014
призыв,n,C1,3015
строиться,v,C1,3016
талантливый,adj,B1,3017
ничего,adv,A2,3018
монитор,n,B1,3019
регулярно,adv,B1,3020
дракон,n,C1,3021
препятствие,n,B2,3022
волшебный,adj,B2,3023
с тех пор,mwe,B1,3024
истребитель,n,C2,3025
матч,n,B1,3026
с одной стороны,mwe,B2,3027
фонарь,n,B2,3028
лифт,n,A2,3029
седьмой,num,A2,3030
подтверждение,n,B2,3031
производиться,v,B2,3032
указанный,adj,B2,3033
длиться,v,B1,3034
флаг,n,B1,3035
департамент,n,B2,3036
владение,n,C1,3037
элита,n,B2,3038
батарея,n,A2,3039
приключение,n,B1,3040
сервис,n,B1,3041
пособие,n,B2,3042
любопытный,adj,B2,3043
покидать,v,B2,3044
успевать,v,B1,3045
коммунистический,adj,B2,3046
мудрый,adj,B1,3047
нормально,adv,A1,3048
бледный,adj,B1,3049
вор,n,B1,3050
пускать,v,B2,3051
дорожка,n,B1,3052
послание,n,B2,3053
внук,n,A1,3054
весть,n,C1,3055
выражаться,v,B2,3056
неприятность,n,B1,3057
рассвет,n,A2,3058
склон,n,C1,3059
провинция,n,C1,3060
недалеко,adv,A2,3061
подряд,adv,B2,3062
пляж,n,B1,3063
благодарный,adj,B1,3064
хозяйственный,adj,B2,3065
перо,n,C1,3066
модный,adj,A2,3067
переставать,v,B1,3068
игровой,adj,B1,3069
толк,n,C2,3070
спасать,v,B1,3071
избегать,v,B2,3072
друг с другом,mwe,A2,3073
гордиться,v,B1,3074
маркетинг,n,C1,3075
железнодорожный,adj,A2,3076
браться,v,C1,3077
книжный,adj,A1,3078
любопытство,n,B2,3079
предполагаться,v,B2,3080
ритм,n,B1,3081
подвиг,n,B1,3082
завершение,n,B2,3083
нерв,n,B2,3084
водить,v,A2,3085
пилот,n,B2,3086
голосование,n,B1,3087
отзыв,n,B2,3088
в свое время,mwe,C1,3089
христианин,n,B1,3090
стыдно,adv,B1,3091
иллюзия,n,B2,3092
плавать,v,A1,3093
гений,n,B2,3094
держава,n,C2,3095
невидимый,adj,B2,3096
сплошной,adj,B2,3097
радостный,adj,B1,3098
академик,n,B2,3099
записывать,v,A2,3100
трасса,n,B1,3101
роды,n,B2,3102
социалистический,adj,B2,3103
таки,particle,C2,3104
нету,adv,C1,3105
даваться,v,C2,3106
угрожать,v,B2,3107
продвижение,n,C1,3108
наибольший,adj,B1,3109
кругом,adv,B2,3110
первоначальный,adj,C1,3111
предоставление,n,C1,3112
протест,n,B2,3113
ограниченный,adj,B2,3114
выносить,v,B2,3115
сооружение,n,C1,3116
развитый,adj,B2,3117
сравнивать,v,B1,3118
бытовой,adj,B1,3119
тяжесть,n,B2,3120
лечить,v,A2,3121
во главе,mwe,B2,3122
бюджетный,adj,B2,3123
выгода,n,B2,3124
запрет,n,B2,3125
уголок,n,B2,3126
максимум,n,B2,3127
перерыв,n,A1,3128
москвич,n,A2,3129
тренер,n,B1,3130
верх,n,A1,3131
подавлять,v,C1,3132
репутация,n,C1,3133
добиваться,v,B2,3134
подчеркивать,v,B1,3135
гроб,n,B2,3136
поздравлять,v,A1,3137
повышенный,adj,B2,3138
употребление,n,B1,3139
напечатать,v,B2,3140
бассейн,n,A1,3141
мэр,n,B1,3142
с учетом,mwe,C1,3143
заявка,n,B2,3144
внедрение,n,B2,3145
валюта,n,A2,3146
врать,v,B2,3147
милиционер,n,A1,3148
кабина,n,B2,3149
системный,adj,B2,3150
прокурор,n,C1,3151
критик,n,B2,3152
служебный,adj,B2,3153
бродить,v,C1,3154
проговорить,v,B2,3155
дешево,adv,A1,3156
носитель,n,B2,3157
неизбежный,adj,C1,3158
куртка,n,A1,3159
белье,n,A2,3160
отчасти,adv,B2,3161
общественность,n,B2,3162
активы,n,C1,3163
численность,n,B2,3164
отправлять,v,A2,3165
кладбище,n,B2,3166
в настоящее время,mwe,B2,3167
эхо,n,B2,3168
евро,n,A1,3169
славный,adj,C1,3170
учащийся,n,B1,3171
посадка,n,B1,3172
ровный,adj,B1,3173
