lemma,pos,cefr_level,frequency_rank
театр,n,A2,968
где-то,adv,B1,969
ссср,n prop,B2,970
произведение,n,B1,971
деревня,n,B1,972
рф,n prop,A2,973
фонд,n,B2,974
сестра,n,A1,975
отличаться,v,A2,976
кричать,v,A2,977
наблюдать,v,B2,978
запад,n prop,A1,979
франция,n prop,A1,980
обстоятельство,n,C1,981
золотой,adj,B2,982
июнь,n prop,A1,983
обращаться,v,B1,984
до сих пор,mwe,B2,985
темный,adj,A1,986
версия,n,C1,987
зато,con,C1,988
министр,n,B2,989
целое,n,B2,990
акция,n,C1,991
губа,n,B1,992
немец,n,A1,993
дополнительный,adj,B2,994
судить,v,B2,995
суть,n,C2,996
пустой,adj,B1,997
америка,n prop,A1,998
холодный,adj,A1,999
февраль,n prop,A1,1000
цветок,n,A2,1001
центральный,adj,B1,1002
профессиональный,adj,B1,1003
завод,n,B2,1004
на самом деле,mwe,B2,1005
федеральный,adj,B1,1006
прием,n,B2,1007
федерация,n,B2,1008
технический,adj,B1,1009
особенность,n,B2,1010
понимание,n,B2,1011
носить,v,A2,1012
рождение,n,A1,1013
ближайший,adj,B1,1014
болезнь,n,A2,1015
выступать,v,B1,1016
площадь,n,A1,1017
подход,n,B2,1018
занимать,v,B2,1019
родной,adj,B1,1020
станция,n,A1,1021
стремиться,v,B2,1022
решать,v,B1,1023
обучение,n,A2,1024
запись,n,A2,1025
упасть,v,A2,1026
поддерживать,v,B2,1027
настолько,adv,C1,1028
вниз,adv,A2,1029
вниз,prep,A2,1030
значительный,adj,B2,1031
напоминать,v,B1,1032
ответственность,n,B1,1033
народный,adj,B1,1034
европейский,adj,A1,1035
поэт,n,B1,1036
соответствие,n,B2,1037
офицер,n,B2,1038
июль,n prop,A1,1039
выборы,n,A2,1040
король,n,B1,1041
утверждать,v,C1,1042
позвонить,v,A1,1043
реклама,n,A2,1044
революция,n,B2,1045
явление,n,C1,1046
отдел,n,C1,1047
вскоре,adv,B2,1048
фронт,n,B2,1049
художник,n,B1,1050
информационный,adj,B2,1051
животное,n,A2,1052
пользователь,n,B1,1053
этап,n,B2,1054
ладно,particle,B2,1055
стиль,n,B2,1056
зеленый,adj,A1,1057
двигаться,v,B1,1058
норма,n,B2,1059
сто,num,A1,1060
чего,pron,A2,1061
передача,n,A2,1062
ценность,n,B2,1063
фраза,n,A2,1064
определение,n,B2,1065
работник,n,B2,1066
петь,v,A1,1067
мимо,adv,B2,1068
дата,n,A1,1069
будущий,adj,B1,1070
находить,v,A2,1071
семь,num,A1,1072
капитан,n,A2,1073
доход,n,B2,1074
фотография,n,A1,1075
разработка,n,B2,1076
волна,n,B2,1077
усилие,n,B2,1078
ясный,adj,B1,1079
профессор,n,A2,1080
как раз,mwe,C2,1081
рассматривать,v,B2,1082
ноябрь,n prop,A1,1083
понравиться,v,A1,1084
чай,n,A1,1085
участвовать,v,B1,1086
перевод,n,A1,1087
фактор,n,B2,1088
тихо,adv,A1,1089
канал,n,B1,1090
полезный,adj,A2,1091
сравнение,n,B2,1092
