lemma,pos,frequency_rank,cefr_level,notes
живот,n,504,A1,
желтый,adj,505,A1,
сложно,adv,506,A1,
почта,n,507,A1,
заплатить,v,508,A1,
воскресенье,n prop,509,A1,
пятница,n prop,510,A1,
продавец,n,511,a1,
преподаватель,n,512,A1,
доска,n,513,A1,
японский,adj,514,A1,
ручка,n,515,A1,
верно,adv,516,A1,
понедельник,n prop,517,A1,
гулять,v,518,A1,
девять,num,519,A1,
транспорт,n,520,A1,
актер,n,521,A1,
килограмм,n,522,A1,
экзамен,n,523,A1,
приятно,adv,524,a1,
сумка,n,525,A1,
сигарета,n,526,A1,
бегать,v,527,A1,
петербург,n,528,A1,
спортивный,adj,529,A1,
больно,adv,530,A1,
твердый,adj,531,A1,
пятнадцать,num,532,A1,
марка,n,533,a1,
метро,n,534,A1,
очки,n,535,A1,
полицейский,adj,536,A1,
длина,n,537,A1,
дружба,n,538,A1,
ужин,n,539,A1,
перемена,n,540,A1,
мобильный,adj,541,A1,
непонятный,adj,542,A1,
диван,n,543,a1,
пассажир,n,544,a1,
закрывать,v,545,A1,
италия,n prop,546,A1,
приглашать,v,547,A1,
яйцо,n,548,A1,
британский,adj,549,A1,
туалет,n,550,A1,
остановка,n,551,A1,
дорого,adv,552,A1,
близко,adv,553,A1,
диалог,n,554,A1,
карточка,n,555,A1,
француз,n,556,A1,
англичанин,n,557,A1,
дешевый,adj,558,A1,
полчаса,n,559,A1,
полка,n,560,A1,
паспорт,n,561,A1,
лекарство,n,562,A1,
объявление,n,563,A1,
отдыхать,v,564,A1,
украинский,adj,565,A1,
тест,n,566,A1,
двенадцать,num,567,A1,
холод,n,568,A1,
шкаф,n,569,A1,
четверг,n prop,570,A1,
вторник,n prop,571,A1,
литр,n,572,A1,
учебник,n,573,A1,
розовый,adj,574,A1,
танцевать,v,575,a1,
произносить,v,576,A1,
рубашка,n,577,A1,
итальянский,adj,578,A1,
завтрак,n,579,A1,
турист,n,580,A1,
иностранец,n,581,A1,
музыкант,n,582,a1,
яблоко,n,583,A1,
сапог,n,584,A1,
азия,n prop,585,A1,
аэропорт,n,586,A1,
польский,adj,587,A1,
подпись,n,588,A1,
напиток,n,589,A1,
неправильный,adj,590,A1,
краткий,adj,591,a1,
по телефону,mwe,592,A1,
пожар,n,593,A1,
головной,adj,594,A1,
